subject,body,label
Meeting agenda for Friday - 12,"Hello,
Thanks for your help on the project. Please send your feedback in the usual internal channel.
Best regards. 
Have a good day.",0
Password expiration warning - 74,"Hello,
A recent payment could not be processed. Sign in and update your card information to avoid suspension.
Please confirm your account. ",1
Confirm your identity now - 87,"Hello,
Failure to respond may result in permanent account suspension. Verify your details now.
Please verify now. 
This message requires immediate attention.",1
Document review request - 72,"Hello,
Hi team, attached are the notes from our meeting. Please review them before tomorrow afternoon.
Thanks. ",0
Welcome to the project - 85,"Hello,
We are sharing the agenda for Friday's meeting. No action is required before the discussion.
for your information. 
Reference: project ORION",0
Your travel itinerary - 82,"Hello,
Please find the approved invoice attached. Finance can process it through the normal procurement workflow.
let me know if you need anything. 
Have a good day.",0
Payment failed - action required - 16,"Hello,
We detected unusual activity on your account. Verify your identity immediately using the secure link below.
Please secure verification portal. 
Do not delay.",1
Project status report - 86,"Hello,
Please find the approved invoice attached. Finance can process it through the normal procurement workflow.
Best regards. 
Reference: project DELTA",0
Confirm your identity now - 49,"Hello,
Failure to respond may result in permanent account suspension. Verify your details now.
Please update payment details. 
Do not delay.",1
Welcome to the project - 97,"Hello,
The scheduled maintenance window is this Saturday from 10 PM to midnight. Services may be briefly unavailable.
Thanks. 
Sent from the company mail system.",0
Security alert: unusual login - 15,"Hello,
Failure to respond may result in permanent account suspension. Verify your details now.
Please secure verification portal. 
Reference: ticket 49608",1
Invoice for approved purchase - 63,"Hello,
Hi team, attached are the notes from our meeting. Please review them before tomorrow afternoon.
Best regards. 
Have a good day.",0
Welcome to the project - 59,"Hello,
The scheduled maintenance window is this Saturday from 10 PM to midnight. Services may be briefly unavailable.
Thanks. 
Sent from the company mail system.",0
Unusual activity detected - 29,"Hello,
You have received a secure document. Open the attachment and enter your credentials to view it.
Please verify now. 
This message requires immediate attention.",1
Quarterly planning notes - 26,"Hello,
The project milestone is on track. Let me know if you have questions about the next sprint.
Thanks. 
Have a good day.",0
Payment failed - action required - 73,"Hello,
We detected unusual activity on your account. Verify your identity immediately using the secure link below.
Please validate your credentials. ",1
Password expiration warning - 71,"Hello,
Our security team needs you to confirm your login information after a suspicious sign-in.
Please secure verification portal. 
This message requires immediate attention.",1
